id,round,treatmentname,value,guess,highgroup,mean_theory,var_theory,alpha,bias,signal,alpha_i,bias_i,signal_i,diff,mse
1.0,1,Baseline,40,30.0,0.0,40.0,100.0,0.18409029,-2.109864,30.329645,0.25503683,-4.1342187,32.12608,-10.0,50.506668
1.0,2,Baseline,52,60.0,1.0,60.0,100.0,0.1746192,1.5192053,58.15939,0.17006543,-0.35857892,60.432056,8.0,50.506668
1.0,3,Baseline,62,60.0,1.0,60.0,100.0,0.1746192,1.5192053,58.15939,0.17006543,-0.35857892,60.432056,-2.0,50.506668
1.0,4,Baseline,57,55.0,1.0,60.0,100.0,0.1746192,1.5192053,52.101578,0.17006543,-0.35857892,54.407486,-2.0,50.506668
1.0,5,Baseline,72,75.0,1.0,60.0,100.0,0.1746192,1.5192053,76.33282,0.17006543,-0.35857892,78.50577,3.0,50.506668
1.0,6,Baseline,42,33.0,0.0,40.0,100.0,0.18409029,-2.109864,34.006523,0.25503683,-4.1342187,36.153122,-9.0,50.506668
1.0,7,Baseline,40,33.0,1.0,60.0,100.0,0.1746192,1.5192053,25.447216,0.17006543,-0.35857892,27.899372,-7.0,50.506668
1.0,8,Baseline,78,65.0,1.0,60.0,100.0,0.1746192,1.5192053,64.2172,0.17006543,-0.35857892,66.45663,-13.0,50.506668
1.0,9,Baseline,51,40.0,0.0,40.0,100.0,0.18409029,-2.109864,42.585903,0.25503683,-4.1342187,45.54956,-11.0,50.506668
1.0,10,Baseline,29,15.0,0.0,40.0,100.0,0.18409029,-2.109864,11.945259,0.25503683,-4.1342187,11.990855,-14.0,50.506668
1.0,11,Baseline,47,41.0,0.0,40.0,100.0,0.18409029,-2.109864,43.81153,0.25503683,-4.1342187,46.89191,-6.0,50.506668
1.0,12,Baseline,77,70.0,1.0,60.0,100.0,0.1746192,1.5192053,70.27501,0.17006543,-0.35857892,72.4812,-7.0,50.506668
1.0,13,Baseline,48,41.0,0.0,40.0,100.0,0.18409029,-2.109864,43.81153,0.25503683,-4.1342187,46.89191,-7.0,50.506668
1.0,14,Baseline,64,53.0,1.0,60.0,100.0,0.1746192,1.5192053,49.678455,0.17006543,-0.35857892,51.997658,-11.0,50.506668
1.0,15,Baseline,43,39.0,0.0,40.0,100.0,0.18409029,-2.109864,41.36028,0.25503683,-4.1342187,44.207214,-4.0,50.506668
1.0,16,Baseline,54,45.0,1.0,60.0,100.0,0.1746192,1.5192053,39.98596,0.17006543,-0.35857892,42.35834,-9.0,50.506668
1.0,17,Baseline,40,35.0,0.0,40.0,100.0,0.18409029,-2.109864,36.457775,0.25503683,-4.1342187,38.83782,-5.0,50.506668
1.0,18,Baseline,50,50.0,1.0,60.0,100.0,0.1746192,1.5192053,46.04377,0.17006543,-0.35857892,48.382915,0.0,50.506668
1.0,19,Baseline,70,65.0,1.0,60.0,100.0,0.1746192,1.5192053,64.2172,0.17006543,-0.35857892,66.45663,-5.0,50.506668
1.0,20,Baseline,44,38.0,0.0,40.0,100.0,0.18409029,-2.109864,40.13465,0.25503683,-4.1342187,42.864864,-6.0,50.506668
1.0,21,Baseline,45,40.0,0.0,40.0,100.0,0.18409029,-2.109864,42.585903,0.25503683,-4.1342187,45.54956,-5.0,50.506668
1.0,22,Baseline,44,55.0,1.0,60.0,100.0,0.1746192,1.5192053,52.101578,0.17006543,-0.35857892,54.407486,11.0,50.506668
1.0,23,Baseline,55,55.0,1.0,60.0,100.0,0.1746192,1.5192053,52.101578,0.17006543,-0.35857892,54.407486,0.0,50.506668
1.0,24,Baseline,58,75.0,1.0,60.0,100.0,0.1746192,1.5192053,76.33282,0.17006543,-0.35857892,78.50577,17.0,50.506668
1.0,25,Baseline,60,60.0,1.0,60.0,100.0,0.1746192,1.5192053,58.15939,0.17006543,-0.35857892,60.432056,0.0,50.506668
1.0,26,Baseline,55,60.0,1.0,60.0,100.0,0.1746192,1.5192053,58.15939,0.17006543,-0.35857892,60.432056,5.0,50.506668
1.0,27,Baseline,78,80.0,1.0,60.0,100.0,0.1746192,1.5192053,82.390625,0.17006543,-0.35857892,84.53034,2.0,50.506668
1.0,28,Baseline,59,40.0,0.0,40.0,100.0,0.18409029,-2.109864,42.585903,0.25503683,-4.1342187,45.54956,-19.0,50.506668
1.0,29,Baseline,53,40.0,0.0,40.0,100.0,0.18409029,-2.109864,42.585903,0.25503683,-4.1342187,45.54956,-13.0,50.506668
1.0,30,Baseline,57,50.0,0.0,40.0,100.0,0.18409029,-2.109864,54.842163,0.25503683,-4.1342187,58.973045,-7.0,50.506668
1.0,31,Baseline,46,38.0,0.0,40.0,100.0,0.18409029,-2.109864,40.13465,0.25503683,-4.1342187,42.864864,-8.0,50.506668
1.0,32,Baseline,40,40.0,0.0,40.0,100.0,0.18409029,-2.109864,42.585903,0.25503683,-4.1342187,45.54956,0.0,50.506668
1.0,33,Baseline,57,54.0,0.0,40.0,100.0,0.18409029,-2.109864,59.744663,0.25503683,-4.1342187,64.34244,-3.0,50.506668
1.0,34,Baseline,26,30.0,0.0,40.0,100.0,0.18409029,-2.109864,30.329645,0.25503683,-4.1342187,32.12608,4.0,50.506668
1.0,35,Baseline,61,70.0,1.0,60.0,100.0,0.1746192,1.5192053,70.27501,0.17006543,-0.35857892,72.4812,9.0,50.506668
1.0,36,Baseline,61,63.0,1.0,60.0,100.0,0.1746192,1.5192053,61.794075,0.17006543,-0.35857892,64.0468,2.0,50.506668
1.0,37,Baseline,58,60.0,1.0,60.0,100.0,0.1746192,1.5192053,58.15939,0.17006543,-0.35857892,60.432056,2.0,50.506668
1.0,38,Baseline,47,40.0,1.0,60.0,100.0,0.1746192,1.5192053,33.92815,0.17006543,-0.35857892,36.33377,-7.0,50.506668
1.0,39,Baseline,34,27.0,0.0,40.0,100.0,0.18409029,-2.109864,26.65277,0.25503683,-4.1342187,28.099033,-7.0,50.506668
1.0,40,Baseline,60,61.0,0.0,40.0,100.0,0.18409029,-2.109864,68.32404,0.25503683,-4.1342187,73.73888,1.0,50.506668
1.0,41,Baseline,60,57.0,1.0,60.0,100.0,0.1746192,1.5192053,54.524704,0.17006543,-0.35857892,56.817314,-3.0,50.506668
1.0,42,Baseline,53,40.0,1.0,60.0,100.0,0.1746192,1.5192053,33.92815,0.17006543,-0.35857892,36.33377,-13.0,50.506668
1.0,43,Baseline,69,65.0,1.0,60.0,100.0,0.1746192,1.5192053,64.2172,0.17006543,-0.35857892,66.45663,-4.0,50.506668
1.0,44,Baseline,61,60.0,1.0,60.0,100.0,0.1746192,1.5192053,58.15939,0.17006543,-0.35857892,60.432056,-1.0,50.506668
1.0,45,Baseline,48,40.0,0.0,40.0,100.0,0.18409029,-2.109864,42.585903,0.25503683,-4.1342187,45.54956,-8.0,50.506668
1.0,46,Baseline,78,79.0,1.0,60.0,100.0,0.1746192,1.5192053,81.17907,0.17006543,-0.35857892,83.325424,1.0,50.506668
1.0,47,Baseline,44,40.0,0.0,40.0,100.0,0.18409029,-2.109864,42.585903,0.25503683,-4.1342187,45.54956,-4.0,50.506668
1.0,48,Baseline,29,25.0,0.0,40.0,100.0,0.18409029,-2.109864,24.201517,0.25503683,-4.1342187,25.414337,-4.0,50.506668
1.0,49,Baseline,65,55.0,0.0,40.0,100.0,0.18409029,-2.109864,60.97029,0.25503683,-4.1342187,65.684784,-10.0,50.506668
1.0,50,Baseline,64,65.0,1.0,60.0,100.0,0.1746192,1.5192053,64.2172,0.17006543,-0.35857892,66.45663,1.0,50.506668
1.0,51,Baseline,33,25.0,0.0,40.0,100.0,0.18409029,-2.109864,24.201517,0.25503683,-4.1342187,25.414337,-8.0,50.506668
1.0,52,Baseline,58,49.0,0.0,40.0,100.0,0.18409029,-2.109864,53.616535,0.25503683,-4.1342187,57.630695,-9.0,50.506668
1.0,53,Baseline,63,54.0,1.0,60.0,100.0,0.1746192,1.5192053,50.89002,0.17006543,-0.35857892,53.20257,-9.0,50.506668
